age,sex,ftotinc,n
29,female,"$60,000 to $64,999",805
29,female,"$65,000 to $69,999",658
29,female,"$70,000 to $74,999",643
29,female,"$75,000 to $79,999",595
29,female,"$80,000 to $84,999",594
29,female,"$85,000 to $89,999",507
29,female,"$90,000 to $94,999",533
29,female,"$95,000 to $99,999",459
29,female,"Less than $14,999",1388
30,male,"$100,000 to $124,999",1942
30,male,"$125,000 to $149,999",1086
30,male,"$15,000 to $19,999",520
30,male,"$150,000 to $174,999",663
30,male,"$175,000 to $199,999",391
30,male,"$20,000 to $24,999",692
30,male,"$200,000 to $249,999",475
30,male,"$25,000 to $29,999",706
30,male,"$250,000 and above",1990
30,male,"$30,000 to $34,999",907
30,male,"$35,000 to $39,999",759
30,male,"$40,000 to $44,999",852
30,male,"$45,000 to $49,999",773
30,male,"$50,000 to $54,999",854
30,male,"$55,000 to $59,999",679
30,male,"$60,000 to $64,999",836
30,male,"$65,000 to $69,999",689
30,male,"$70,000 to $74,999",707
30,male,"$75,000 to $79,999",626
30,male,"$80,000 to $84,999",656
30,male,"$85,000 to $89,999",514
30,male,"$90,000 to $94,999",528
30,male,"$95,000 to $99,999",425
30,male,"Less than $14,999",1039
30,female,"$100,000 to $124,999",1937
30,female,"$125,000 to $149,999",1106
30,female,"$15,000 to $19,999",563
30,female,"$150,000 to $174,999",721
30,female,"$175,000 to $199,999",457
30,female,"$20,000 to $24,999",823
30,female,"$200,000 to $249,999",472
30,female,"$25,000 to $29,999",713
30,female,"$250,000 and above",877
30,female,"$30,000 to $34,999",914
30,female,"$35,000 to $39,999",787
30,female,"$40,000 to $44,999",901
30,female,"$45,000 to $49,999",827
30,female,"$50,000 to $54,999",871
30,female,"$55,000 to $59,999",617
30,female,"$60,000 to $64,999",811
30,female,"$65,000 to $69,999",669
30,female,"$70,000 to $74,999",677
30,female,"$75,000 to $79,999",612
30,female,"$80,000 to $84,999",628
30,female,"$85,000 to $89,999",489
30,female,"$90,000 to $94,999",480
30,female,"$95,000 to $99,999",410
30,female,"Less than $14,999",1327
31,male,"$100,000 to $124,999",1895
31,male,"$125,000 to $149,999",1242
31,male,"$15,000 to $19,999",539
31,male,"$150,000 to $174,999",775
31,male,"$175,000 to $199,999",488
31,male,"$20,000 to $24,999",742
31,male,"$200,000 to $249,999",515
31,male,"$25,000 to $29,999",721
31,male,"$250,000 and above",2017
31,male,"$30,000 to $34,999",925
31,male,"$35,000 to $39,999",803
31,male,"$40,000 to $44,999",937
31,male,"$45,000 to $49,999",751
31,male,"$50,000 to $54,999",910
31,male,"$55,000 to $59,999",703
31,male,"$60,000 to $64,999",838
31,male,"$65,000 to $69,999",655
31,male,"$70,000 to $74,999",672
31,male,"$75,000 to $79,999",597
31,male,"$80,000 to $84,999",623
31,male,"$85,000 to $89,999",544
31,male,"$90,000 to $94,999",531
31,male,"$95,000 to $99,999",476
31,male,"Less than $14,999",998
31,female,"$100,000 to $124,999",1985
31,female,"$125,000 to $149,999",1245
31,female,"$15,000 to $19,999",631
31,female,"$150,000 to $174,999",849
31,female,"$175,000 to $199,999",512
31,female,"$20,000 to $24,999",801
31,female,"$200,000 to $249,999",505
31,female,"$25,000 to $29,999",743
31,female,"$250,000 and above",975
31,female,"$30,000 to $34,999",954
31,female,"$35,000 to $39,999",806
31,female,"$40,000 to $44,999",901
31,female,"$45,000 to $49,999",757
31,female,"$50,000 to $54,999",884
31,female,"$55,000 to $59,999",684
31,female,"$60,000 to $64,999",859
31,female,"$65,000 to $69,999",669
31,female,"$70,000 to $74,999",730
31,female,"$75,000 to $79,999",655
31,female,"$80,000 to $84,999",644
31,female,"$85,000 to $89,999",532
31,female,"$90,000 to $94,999",571
